Designator,Mid X,Mid Y,Rotation,Layer
C1,152.5016,-69.3928,90.0,bottom
C10,129.4892,-86.6648,0.0,bottom
C11,129.4892,-93.726,0.0,bottom
C12,149.4028,-97.79,180.0,bottom
C13,140.6634,-87.581,270.0,bottom
C14,136.3004,-97.7869,0.0,bottom
C15,149.9148,-104.3401,270.0,top
C16,144.9324,-114.2492,180.0,top
C17,135.0304,-109.3693,90.0,top
C2,116.4822,-67.4034,90.0,top
C21,129.413,-69.088,180.0,top
C22,127.3048,-69.9516,90.0,bottom
C24,140.8176,-69.1388,90.0,bottom
C26,159.1348,-79.756,0.0,top
C27,161.892046,-90.4748,0.0,top
C28,146.5054,-79.8558,90.0,bottom
C29,143.1586,-79.7832,90.0,bottom
C3,121.158,-89.0016,0.0,bottom
C30,150.2156,-86.5124,180.0,bottom
C31,143.6624,-84.0214,90.0,top
C32,146.4056,-84.0232,90.0,top
C33,140.8684,-84.0232,90.0,top
C34,136.1422,-91.2876,0.0,bottom
C35,120.7008,-65.0748,90.0,bottom
C36,123.3932,-65.0748,90.0,bottom
C4,121.158,-91.2876,180.0,bottom
C5,143.5332,-62.6974,180.0,top
C6,121.158,-86.4108,0.0,bottom
C7,121.158,-93.9292,180.0,bottom
C8,129.4892,-89.0016,0.0,bottom
C9,129.4892,-91.2876,0.0,bottom
D1,100.8612,-99.5274,0.0,top
D2,106.0682,-93.4314,180.0,top
D3,100.8612,-87.3354,0.0,top
D4,106.0602,-81.2394,180.0,top
D5,101.1152,-75.1434,0.0,top
D6,106.1952,-69.0474,180.0,top
D7,119.792,-127.427,90.0,bottom
D8,135.4328,-75.438,0.0,bottom
J1,103.9244,-107.3028,270.0,top
J2,103.886,-124.8004,270.0,top
J3,163.4746,-73.8632,90.0,top
J4,139.1242,-131.238,90.0,top
J5,154.0764,-118.618,0.0,top
J7,125.9162,-131.236,90.0,top
L1,128.4228,-81.3308,180.0,bottom
L2,128.5244,-99.0092,180.0,bottom
L3,145.542,-75.057,180.0,top
M1,113.792,-129.627,90.0,top
PS1,119.166,-104.838,90.0,top
Q1,119.8372,-121.412,270.0,bottom
Q2,141.7552,-59.0144,0.0,top
Q3,127.6582,-58.9984,0.0,top
R1,161.8276,-60.8584,180.0,top
R10,130.048,-62.8244,180.0,bottom
R11,120.7008,-70.0532,90.0,bottom
R12,138.1586,-79.7832,270.0,bottom
R13,140.6586,-79.7832,90.0,bottom
R14,148.9438,-79.8175,270.0,bottom
R15,151.3822,-79.8175,90.0,bottom
R16,150.2031,-89.0016,0.0,bottom
R17,150.2245,-94.3356,180.0,bottom
R18,150.2067,-91.7956,0.0,bottom
R19,123.3932,-70.0532,90.0,bottom
R2,155.0416,-69.4146,90.0,bottom
R20,143.4592,-126.238,0.0,bottom
R21,143.4592,-123.7488,0.0,bottom
R3,120.3452,-118.0084,0.0,bottom
R4,125.9332,-116.2304,180.0,bottom
R5,125.9332,-113.6904,180.0,bottom
R6,125.9332,-111.1504,180.0,bottom
R7,138.2776,-69.1388,90.0,bottom
R8,130.048,-65.4304,0.0,bottom
R9,138.2776,-60.198,90.0,bottom
U1,119.483,-81.3308,180.0,bottom
U2,119.483,-99.0092,0.0,bottom
U3,136.1422,-87.4268,90.0,bottom
U4,142.3964,-106.8293,270.0,top
U5,132.7404,-69.9516,180.0,bottom
U6,144.8326,-88.9998,270.0,bottom
Y1,145.3544,-97.7869,180.0,top
